2806,Omeprazol Sandoz 20 mg,1G,cps end 28x20 mg (blis.Al/Al),A02BC01,8,A,10.57
2807,Omeprazol STADA 20 mg,1G,cps end 100x20 mg (blis.OPA/Al/PVC/Al),A02BC01,90,A,8.71
2808,Omeprazol STADA 20 mg,1G,cps end 30x20 mg (blis.OPA/Al/PVC/Al),A02BC01,49,N,8.77
2809,"Omnic TOCAS 0,4",O,"tbl plg 100x0,4 mg (blis.Al/Al)",G04CA02,9,A,1.09
2810,OMNIPAQUE 300,O,sol inj 10x100 ml (fľ.PP),V08AB02,60,A,8.82
2811,OMNIPAQUE 300,1G,sol inj 10x50 ml (fľ.PP),V08AB02,66,A,13.23
2812,OMNIPAQUE 350,O,sol inj 10x100 ml (fľ.PP),V08AB02,46,N,6.52
2813,OMNIPAQUE 350,O,sol inj 10x200 ml (fľ.PP),V08AB02,46,A,7.48
2814,OMNIPAQUE 350,O,sol inj 10x50 ml (fľ.PP),V08AB02,22,N,14.83
2815,Onbrez Breezhaler 150 mikrogramov inhalačný prášok v tvrdých kapsulách,O,plv icd 30x150 µg (blis.PA/Alu/PVC+inh.),R03AC18,2,N,14.33
2816,Ondansetron B. Braun 2 mg/ml injekčný roztok,1G,sol inj 20x4 ml/8 mg (amp.LDPE),A04AA01,5,N,4.09
2817,ONDANSETRON KABI 2 mg/ml,1G,sol inj 5x4 ml/8 mg (amp.skl.),A04AA01,16,N,9.37
2818,ONKOTRONE,O,sol inj 1x10 ml/20 mg (liek.inj.skl.),L01DB07,28,N,12.33
2819,ONSETROGEN 2 mg/ml,1G,sol inj 5x4 ml/8 mg (amp.skl.hnedá),A04AA01,61,A,11.22
2820,Onsetrogen 8 mg,1G,tbl flm 10x8 mg (blis.PVC/Al),A04AA01,96,A,7.67
2821,Ontozry 100 mg filmom obalené tablety,O,tbl flm 14x100 mg (blis.PVC/Al),N03AX25,65,A,7.73
2822,"Ontozry 12,5 mg tablety, Ontozry 25 mg filmom obalené tablety",O,"tbl flm + tbl 28 (14x25 mg + 14x12,5 mg) (blis.PVC/Al)",N03AX25,8,N,7.76
2823,Ontozry 150 mg filmom obalené tablety,O,tbl flm 14x150 mg (blis.PVC/Al),N03AX25,25,N,6.02
2824,Ontozry 200 mg filmom obalené tablety,O,tbl flm 14x200 mg (blis.PVC/Al),N03AX25,14,N,10.85
2825,Ontozry 50 mg filmom obalené tablety,O,tbl flm 14x50 mg (blis.PVC/Al),N03AX25,24,A,10.82
2826,ONYCHOMED 250 mg,1G,tbl 28x250 mg (blis.PVDC/Al),D01BA02,60,N,12.15
2827,ONYCHOMED 250 mg,1G,tbl 56x250 mg (blis.PVDC/Al),D01BA02,81,N,9.7
2828,Opatanol 1 mg/ml očná roztoková instilácia,O,int opo 1x5 ml (fľ.LDPE),S01GX09,95,N,9.25
2829,OPHTHALMO-FRAMYKOIN,O,ung oph 1x5 g (tuba Al),S01AA30,37,A,5.82
2830,OPHTHALMO-FRAMYKOIN comp.,1G,ung oph 1x5 g (tuba Al),S01AA20,6,A,14.53
2831,OPRAZOLE,1G,tbl ent 28x20 mg (liek.HDPE),A02BC01,45,N,2.19
2832,OPRAZOLE,1G,tbl ent 90x20 mg (liek.HDPE),A02BC01,10,N,9.24
2833,"Oprymea 0,18 mg tablety",1G,"tbl 30x0,18 mg (blis.Al/Al)",N04BC05,94,N,3.1
2834,"Oprymea 0,26 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x0,26 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,52,N,11.97
2835,"Oprymea 0,52 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x0,52 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,11,A,7.72
2836,"Oprymea 0,7 mg tablety",1G,"tbl 30x0,7 mg (blis.Al/Al)",N04BC05,25,N,4.84
2837,"Oprymea 1,05 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x1,05 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,31,N,4.14
2838,"Oprymea 2,1 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x2,1 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,27,A,14.06
2839,"Oprymea 2,62 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x2,62 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,38,A,10.45
2840,"Oprymea 3,15 mg tablety s predĺženým uvoľňovaním",1G,"tbl plg 30x3,15 mg (blis.OPA/Al/vysušovadlo/PE/Al)",N04BC05,69,N,7.78
2841,Opsumit 10 mg filmom obalené tablety,O,tbl flm 30x10 mg (blis.PVC/PE/PVDC/Al),C02KX04,55,N,2.44
2842,OPTIRAY 300,O,sol inj 10x100 ml (fľ.skl.),V08AB07,9,N,1.28
2843,OPTIRAY 300,O,sol inj 10x100 ml (striek.PP vysokotlaková),V08AB07,64,N,8.82
2844,OPTIRAY 300,O,sol inj 10x20 ml (fľ.skl.),V08AB07,71,A,3.22
2845,OPTIRAY 300,O,sol inj 10x200 ml (fľ.skl.),V08AB07,27,N,6.54
2846,OPTIRAY 300,O,sol inj 10x50 ml (fľ.skl.),V08AB07,17,N,12.99
2847,OPTIRAY 300,O,sol inj 20x100 ml (striek.PP vysokotlaková),V08AB07,64,A,12.1
2848,OPTIRAY 350,O,sol inj 10x100 ml (fľ.skl.),V08AB07,7,N,1.18
2849,OPTIRAY 350,O,sol inj 10x100 ml (striek.PP vysokotlaková),V08AB07,63,N,13.72
2850,OPTIRAY 350,O,sol inj 10x125 ml (striek.PP vysokotlaková),V08AB07,67,N,10.04
2851,OPTIRAY 350,O,sol inj 10x200 ml (fľ.skl.),V08AB07,72,A,1.96
2852,OPTIRAY 350,O,sol inj 10x50 ml (fľ.skl.),V08AB07,60,N,9.97
2853,Optivate 1 000 IU prášok a rozpúšťadlo na injekčný roztok,O,plv iol 1x1000 IU+1x10 ml solv.(liek.inj.skl.+liek.inj.skl.+prenos.zariadenie),B02BD02,42,N,2.9
2854,Optivate 250 IU prášok a rozpúšťadlo na injekčný roztok,O,"plv iol 1x250 IU+1x2,5 ml solv.(liek.inj.skl.+liek.inj.skl.+prenos.zariadenie)",B02BD02,86,N,9.53
2855,Optivate 500 IU prášok a rozpúšťadlo na injekčný roztok,O,plv iol 1x500 IU+1x5 ml solv.(liek.inj.skl.+liek.inj.skl.+prenos.zariadenie),B02BD02,73,A,12.39
2856,Oralair 100 IR & 300 IR,O,tbl slg 1x3x100 IR + 1x28x300 IR (blis.PA/Al/PVC/Al),V01AA02,76,N,9.47
2857,Oralair 300 IR,O,tbl slg 1x30x300 IR (blis. PA/Al/PVC/Al),V01AA02,80,A,2.75
2858,Oralair 300 IR,O,tbl slg 3x30x300 IR (blis. PA/Al/PVC/Al),V01AA02,13,N,11.33
2859,Oramellox 15 mg,1G,tbl oro 30(3x10)x15 mg (blis.Al/PA/Al/PVC),M01AC06,18,A,9.16
2860,ORENCIA 250 mg prášok na koncentrát na infúzny roztok,O,plc ifc 1x250 mg (1x iek.inj.skl.+1x striek.inj),L04AA24,61,A,5.52
2861,Orfadin 10 mg tvrdé kapsuly,O,cps dur 60x10 mg (fľ.HDPE),A16AX04,40,N,10.11
2862,Orfadin 2 mg tvrdé kapsuly,O,cps dur 60x2 mg (fľ.HDPE),A16AX04,95,N,9.89
2863,Orfadin 20 mg tvrdé kapsuly,O,cps dur 60x20 mg (fľ.HDPE),A16AX04,34,N,3.01
2864,Orfadin 4 mg/ml perorálna suspenzia,O,sus por 1x90 ml (fľ.skl.),A16AX04,45,N,3.2
2865,Orfadin 5 mg tvrdé kapsuly,O,cps dur 60x5 mg (fľ.HDPE),A16AX04,28,N,5.79
2866,ORFIRIL LONG 1000 mg,1G,tbl plg 100x1000 mg,N03AG01,12,A,5.95
2867,ORFIRIL LONG 150 mg,1G,cps plg 100x150 mg,N03AG01,71,A,10.36
2868,ORFIRIL LONG 300 mg,1G,cps plg 100x300 mg,N03AG01,65,A,10.63
2869,Orfiril long 500 mg,1G,tbl plg 100x500 mg (vre.papier/Al/PE),N03AG01,32,A,13.89
2870,Orkambi 100 mg/125 mg filmom obalené tablety,O,tbl flm 112x100 mg/125 mg (blis.Aclar/PVC/Al),R07AX30,25,N,9.78
2871,Orkambi 100 mg/125 mg granulát vo vrecku,O,gra 56x100 mg/125 mg (vre.BOPET/PE/fólia/PE),R07AX30,7,A,10.88
2872,Orkambi 150 mg/188 mg granulát vo vrecku,O,gra 56x150 mg/188 mg (vre.BOPET/PE/fólia/PE),R07AX30,24,N,10.8
2873,Orkambi 200 mg/125 mg filmom obalené tablety,O,tbl flm 112(4x28)x200 mg/125 mg (blis.Aclar/PVC/Al),R07AX30,35,N,12.61
2874,Osagrand 150 mg filmom obalené tablety,1G,tbl flm 3x150 mg (blis.PVC/PVDC/Al),M05BA06,91,A,5.04
2875,Ospamox 1000 mg filmom obalené tablety,1G,tbl flm 14x1000 mg (blis.PVC/PVDC/Al),J01CA04,56,A,9.89
2876,Ospamox 250 mg/5 ml prášok na perorálnu suspenziu,1G,plu por 1x60 ml (fľ.skl.žltohnedá+PP odmer.lyžička),J01CA04,20,A,13.27
2877,Ospamox 500 mg filmom obalené tablety,1G,tbl flm 14x500 mg (blis.PVC/PVDC/Al),J01CA04,72,N,5.75
2878,Ospamox 750 mg filmom obalené tablety,1G,tbl flm 14x750 mg (blis.PVC/PVDC/Al),J01CA04,88,N,3.11
2879,Ospen 1000,1G,tbl flm 30x1000 KU (blis.Al/PVC/PVDC),J01CE02,71,N,11.03
2880,Ospen 1500,1G,tbl flm 12x1500 KU (blis.Al/PVC/PVDC),J01CE02,13,A,9.54
2881,Ospen 1500,1G,tbl flm 30x1500 KU (blis.Al/PVC/PVDC),J01CE02,41,N,7.19
2882,Ospen 400,1G,sir 1x150 ml (fľ.skl.tmavá),J01CE02,23,N,10.66
2883,Ospen 500,1G,tbl flm 30x500 KU (blis.Al/PVC/PVDC),J01CE02,33,N,4.22
2884,Ospexin 1000 mg,1G,tbl flm 12x1000 mg (blis.PVC/PVDC/Al),J01DB01,54,N,7.71
2885,Ospexin 250 mg/5 ml,1G,gru por 1x33 g (fľ.skl.hnedá),J01DB01,68,A,9.06
2886,Ospexin 500 mg,1G,tbl flm 12x500 mg (blis.PVC/PVDC/Al),J01DB01,34,N,13.58
2887,Ospolot,O,tbl flm 50x200 mg (obal PE),N03AX03,8,N,3.72
2888,Osporil 4 mg/100 ml infúzny roztok,1G,sol inf 1x100 ml/4 mg (liek.inj.skl.),M05BA08,47,N,4.85
2889,Ossica 150 mg filmom obalené tablety,1G,tbl flm 3x150 mg (blis.PVC/PE/PVDC/Al),M05BA06,51,N,8.31
2890,Ossica 3 mg injekčný roztok naplnený v injekčnej striekačke,1G,sol iru 1x3 ml/3 mg (striek.inj.napln.) + 1x inj.ihla,M05BA06,9,A,1.88
2891,OsvaRen,O,tbl flm 180,V03AE04,25,A,9.36
2892,"Otezla 10 mg filmom obalené tablety,Otezla 20 mg filmom obalené tablety, Otezla 30 mg filmom obalené tablety",O,tbl flm 4x10 mg+4x20 mg+19x30 mg (blis.PVC/Al),L04AA32,56,A,13.25
2893,Otezla 30 mg filmom obalené tablety,O,tbl flm 56x30 mg (blis.PVC/Al),L04AA32,49,A,8.95
2894,Otobacid N,O,int ots 1x5 ml (liek.skl.),S02BA,19,N,12.47
2895,"Ovaleap 450 IU/0,75 ml injekčný roztok",2B,"sol inj 1x450 IU/0,75 ml+10 inj.ihiel (náplň skl.)",G03GA05,41,N,9.98
2896,"Ovaleap 900 IU/1,5 ml injekčný roztok",2B,"sol inj 1x900 IU/1,5 ml+20 inj.ihiel (náplň skl.)",G03GA05,36,N,7.23
2897,Ovestin,O,crm vag 1x15 g (tuba Al+aplikátor),G03CA04,94,A,6.23
2898,Ovitrelle 250 mikrogramov injekčný roztok v naplnenom pere,O,"sol inj 1x0,5 ml/250 µg (náplň skl. v napl.pere+ihla)",G03GA08,23,A,4.18
2899,"Ovitrelle 250 mikrogramov/0,5 ml, injekčný roztok v naplnenej injekčnej striekačke",O,"sol inj 1x0,5 ml/250 µg (napln. skl. striek.+ ihla)",G03GA08,69,A,12.84
2900,Oxaliplatin Kabi 5 mg/ml,1G,con inf 1x10 ml/50 mg (liek.inj.skl.),L01XA03,41,N,5.43
2901,Oxaliplatin Kabi 5 mg/ml,1G,con inf 1x20 ml/100 mg (liek.inj.skl.),L01XA03,89,N,7.77
2902,Oxaliplatina Mylan 5 mg/ ml,1G,plv ifo 1x100 mg+20 ml solv.,L01XA03,14,N,7.97
2903,Oxaliplatina Mylan 5 mg/ ml,1G,plv ifo 1x50 mg+10 ml solv.,L01XA03,12,N,10.99
2904,OXAZEPAM LÉČIVA,1G,tbl 20x10 mg (blis. PVC/Al),N05BA04,100,A,11.34
2905,Oxis Turbuhaler 6 µg,1G,plv inh 1x60 dávok (inhal.plast.),R03AC13,29,A,14.08
2906,Oxycomp 10 mg/5 mg tablety s predĺženým uvoľňovaním,3G,tbl plg 60x10 mg/5 mg (blis.PVC/PVDC/Al-bezpeč.bal.),N02AA55,85,A,10.85
2907,Oxycomp 20 mg/10 mg tablety s predĺženým uvoľňovaním,3G,tbl plg 60x20 mg/10 mg (blis.PVC/PVDC/Al-bezpeč.bal.),N02AA55,49,N,8.24
2908,Oxycomp 40 mg/20 mg tablety s predĺženým uvoľňovaním,3G,tbl plg 60x40 mg/20 mg (blis.PVC/PVDC/Al-bezpeč.bal.),N02AA55,21,A,7.64
2909,"Oxycomp 5 mg/2,5 mg tablety s predĺženým uvoľňovaním",3G,"tbl plg 60x5 mg/2,5 mg (blis.PVC/PVDC/Al-bezpeč.bal.)",N02AA55,73,N,11.64
2910,Oxykodón/Naloxón STADA 10 mg/5 mg,2G,tbl plg 60x10 mg/5 mg (blis.Al/PVC/PE/PVDC),N02AA55,55,A,8.42
2911,Oxykodón/Naloxón STADA 20 mg/10 mg,2G,tbl plg 60x20 mg/10 mg (blis.Al/PVC/PE/PVDC),N02AA55,77,A,4.01
2912,Oxykodón/Naloxón STADA 40 mg/20 mg,2G,tbl plg 60x40 mg/20 mg (blis.Al/PVC/PE/PVDC),N02AA55,70,N,8.94
2913,"Oxykodón/Naloxón STADA 5 mg/2,5 mg",2G,"tbl plg 60x5 mg/2,5 mg (blis.Al/PVC/PE/PVDC)",N02AA55,8,N,6.99
2914,Oxypro 10 mg tablety s predĺženým uvoľňovaním,1G,tbl plg 60x10 mg (blis.PVC/PVDC/Al),N02AA05,71,N,12.38
2915,Oxypro 20 mg tablety s predĺženým uvoľňovaním,1G,tbl plg 60x20 mg (blis.PVC/PVDC/Al),N02AA05,21,A,12.24
2916,Oxypro 40 mg tablety s predĺženým uvoľňovaním,1G,tbl plg 60x40 mg (blis.PVC/PVDC/Al),N02AA05,8,A,4.17
2917,Oxypro 80 mg tablety s predĺženým uvoľňovaním,1G,tbl plg 60x80 mg (blis.PVC/PVDC/Al),N02AA05,83,A,8.47
2918,Oyavas 25 mg/ml koncentrát na infúzny roztok,2B,con inf 1x16 ml/400 mg (liek.inj.skl.),L01FG01,77,A,5.73
2919,Oyavas 25 mg/ml koncentrát na infúzny roztok,2B,con inf 1x4 ml/100 mg (liek.inj.skl.),L01FG01,52,N,7.05
2920,"Ozempic 0,25 mg injekčný roztok v naplnenom pere",O,"sol inj 1x1,5 ml (náplň skl. v napl.pere + 4 ihly)",A10BJ06,27,N,13.1
2921,"Ozempic 0,5 mg injekčný roztok v naplnenom pere",O,"sol inj 1x1,5 ml (náplň skl. v napl.pere + 4 ihly)",A10BJ06,40,N,6.83
2922,Ozempic 1 mg injekčný roztok v naplnenom pere,O,sol inj 1x3 ml (náplň skl. v napl.pere + 4 ihly),A10BJ06,84,N,4.72
2923,OZURDEX 700 mikrogramov intravitreálny implantát s aplikátorom,O,imp ivt 1x700 µg (vrecko s aplik.syst.),S01BA01,77,A,8.87
2924,Ozzion 20 mg gastrorezistentné tablety,1G,tbl ent 28x20 mg (blis.nylon/Al/PVC/Al),A02BC02,62,A,7.84
2925,Ozzion 20 mg gastrorezistentné tablety,1G,tbl ent 98x20 mg (blis.nylon/Al/PVC/Al),A02BC02,24,N,7.25
2926,Ozzion 40 mg gastrorezistentné tablety,1G,tbl ent 28x40 mg (blis.nylon/Al/PVC/Al),A02BC02,58,A,5.86
2927,Ozzion 40 mg gastrorezistentné tablety,1G,tbl ent 98x40 mg (blis.nylon/Al/PVC/Al),A02BC02,53,A,3.03
2928,"Paclitaxel ,,Ebewe"" 6 mg/ ml",1G,"con inf 1x16,7 ml/100 mg (liek.inj.skl.)",L01CD01,72,N,3.85
2929,"Paclitaxel ,,Ebewe"" 6 mg/ ml",1G,con inf 1x5 ml/30 mg (liek.inj.skl.),L01CD01,5,N,8.21
2930,"Paclitaxel ,,Ebewe"" 6 mg/ ml",1G,con inf 1x50 ml/300 mg (liek.inj.skl.),L01CD01,44,A,7.73
2931,Paclitaxel Accord 6 mg/ml infúzny koncentrát,1G,"con inf 1x16,7 ml/100 mg (liek.inj.skl.)",L01CD01,3,N,3.7
2932,Paclitaxel Accord 6 mg/ml infúzny koncentrát,1G,con inf 1x5 ml/30 mg (liek.inj.skl.),L01CD01,26,A,12.52
2933,Paclitaxel Kabi 6 mg/ml,1G,"con inf 1x16,7 ml/100 mg (liek.inj.skl.)",L01CD01,90,N,10.09
2934,Paclitaxel Kabi 6 mg/ml,1G,con inf 1x5 ml/30 mg (liek.inj.skl.),L01CD01,82,A,7.02
2935,Paclitaxel Kabi 6 mg/ml,1G,con inf 1x50 ml/300 mg (liek.inj.skl.),L01CD01,16,N,5.88
2936,Paclitaxel Mylan 6 mg/ml,1G,"con inf 1x16,7 ml/100 mg (liek.inj.skl.)",L01CD01,22,N,6.27
2937,Paclitaxel Mylan 6 mg/ml,1G,con inf 1x5 ml/30 mg (liek.inj.skl.),L01CD01,32,A,6.51
2938,Palexia 20 mg/ml perorálny roztok,O,sol por 1x200 ml/4 g (fľ.HDPE+striek.inj.),N02AX06,1,A,11.45
2939,PALEXIA 50 mg filmom obalené tablety,O,tbl flm 50x(1x50 mg) (blis.PVC/PVDC/Al-perf.),N02AX06,64,A,14.36
2940,PALEXIA retard 100 mg tablety s predĺženým uvoľňovaním,O,tbl plg 60x100 mg (blis.PVC/PVDC/Al/papier/PET),N02AX06,18,A,5.7
2941,PALEXIA retard 150 mg tablety s predĺženým uvoľňovaním,O,tbl plg 60x150 mg (blis.PVC/PVDC/Al/papier/PET),N02AX06,59,N,7
2942,PALEXIA retard 200 mg tablety s predĺženým uvoľňovaním,O,tbl plg 60x200 mg (blis.PVC/PVDC/Al/papier/PET),N02AX06,25,A,6.73
2943,PALEXIA retard 250 mg tablety s predĺženým uvoľňovaním,O,tbl plg 60x250 mg (blis.PVC/PVDC/Al/papier/PET),N02AX06,15,A,12.79
2944,PALEXIA retard 50 mg tablety s predĺženým uvoľňovaním,O,tbl plg 60x50 mg (blis.PVC/PVDC/Al/papier/PET),N02AX06,30,A,14.3
4106,Uptravi 200 mikrogramov filmom obalené tablety,O,tbl flm 140x200 µg (blis.PA/Al/HDPE/PE/Al-titračné bal.),B01AC27,83,A,13.26
4107,Uptravi 200 mikrogramov filmom obalené tablety,O,tbl flm 60x200 µg (blis.PA/Al/HDPE/PE/Al),B01AC27,46,N,6.6
4108,Uptravi 400 mikrogramov filmom obalené tablety,O,tbl flm 60x400 µg (blis.PA/Al/HDPE/PE/Al),B01AC27,50,A,2.41
4109,Uptravi 600 mikrogramov filmom obalené tablety,O,tbl flm 60x600 µg (blis.PA/Al/HDPE/PE/Al),B01AC27,40,A,2.42
4110,Uptravi 800 mikrogramov filmom obalené tablety,O,tbl flm 60x800 µg (blis.PA/Al/HDPE/PE/Al),B01AC27,65,A,3.2
4111,Urapidil Stragen 30 mg,1G,cps pld 50x30 mg (fľ.PP),C02CA06,12,N,2.03
4112,Urapidil Stragen 60 mg,1G,cps pld 50x60 mg (fľ.PP),C02CA06,88,A,5.33
4113,Urografin 76 %,O,sol inj 10x20 ml (amp.skl.),V08AA01,33,N,12.07
4114,Urokur 10 mg filmom obalené tablety,1G,tbl flm 100x10 mg (blis.OPA/Al/PVC/Al),G04BD08,51,N,7.89
4115,Urokur 5 mg filmom obalené tablety,1G,tbl flm 100x5 mg (blis.OPA/Al/PVC/Al),G04BD08,70,A,6.72
4116,UROMITEXAN 400 mg,O,sol inj 10x4 ml/400 mg (amp.skl.),V03AF01,65,N,12.27
4117,Urorec 4 mg tvrdé kapsuly,1G,cps dur 30x4 mg (blis.PVC/PVDC/Al),G04CA04,98,N,14.02
4118,Urorec 8 mg tvrdé kapsuly,1G,cps dur 30x8 mg (blis.PVC/PVDC/Al),G04CA04,27,N,12.83
4119,Urorec 8 mg tvrdé kapsuly,1G,cps dur 50x8 mg (blis.PVC/PVDC/Al),G04CA04,12,N,13.02
4120,URO-VAXOM,O,cps dur 30x6 mg (blis.Al/PVDC/PVC/PVDC),L03AX,46,A,14.18
4121,URO-VAXOM,O,cps dur 90x6 mg (blis.Al/PVDC/PVC/PVDC),L03AX,64,N,7.29
4122,UROXAL 5 mg,1G,tbl 60x5 mg (blis.PVC/Al),G04BD04,64,N,3.59
4123,Ursofalk 250 mg kapsuly,O,cps 100x250 mg (blis.PVC/Al),A05AA02,26,N,10.94
4124,Ursogrix 250 mg tvrdé kapsuly,2G,cps dur 100 (10x10x250 mg) (blis.PVC/Al),A05AA02,86,A,5.17
4125,URSOMED 250 mg,1G,cps dur 100x250 mg (PVC/Al),A05AA02,33,A,6.73
4126,URSOMED 500 mg,1G,cps dur 100x500 mg (blis.PVC/Al),A05AA02,93,A,14.44
4127,URSOSAN,1G,cps 100x250 mg (blis.Al/PVC),A05AA02,43,A,8.89
4128,URSOSAN,1G,cps 50x250 mg (blis.Al/PVC),A05AA02,26,A,14.21
4129,URUTAL 16 mg,1G,tbl 60x16 mg (blis.PVC/PVDC/Al),N07CA01,7,N,12.5
4130,URUTAL 24 mg,1G,tbl 50x24 mg (blis.PVC/PVDC/Al),N07CA01,85,A,8.84
4131,V PNC 1000,1G,tbl flm 30x1000 mg (blister),J01CE02,94,A,11.59
4132,V PNC 500,1G,tbl flm 30x500 mg (blister),J01CE02,59,A,8.87
4133,V PNC 750,1G,tbl flm 20x750 mg (blister),J01CE02,33,A,14.47
4134,V PNC 750,1G,tbl flm 30x750 mg (blister),J01CE02,41,A,11.46
4135,VACDITE,O,"sus inj 1x0,5 ml (amp.skl.)",J07AM51,56,N,4.83
4136,Valdamin 450 mg,1G,tbl flm 60x450 mg (blis.OPA/Al/PVC/Al),J05AB14,74,N,12.4
4137,Valdoxan 25 mg filmom obalené tablety,O,tbl flm 28x25 mg (blis.Al/PVC),N06AX22,51,N,5.1
4138,Valdoxan 25 mg filmom obalené tablety,O,tbl flm 84x25 mg (blis.Al/PVC),N06AX22,86,A,10.32
4139,Valpro-ratiopharm Chrono  500 mg,1G,tbl plg 100x500 mg (blis.Al/PVC),N03AG01,29,A,10.29
4140,Valsacor 160 mg,1G,tbl flm 28x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,23,N,9.26
4141,Valsacor 160 mg,1G,tbl flm 98x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,91,A,9.45
4142,Valsacor 320 mg,1G,tbl flm 28x320 mg (blis.PVC/PE/PVDC/Al),C09CA03,90,N,6.88
4143,Valsacor 320 mg,1G,tbl flm 98x320 mg (blis.PVC/PE/PVDC/Al),C09CA03,77,N,7.36
4144,Valsacor 80 mg,1G,tbl flm 28x80 mg (blis.PVC/PE/PVDC/Al),C09CA03,18,A,14.91
4145,Valsartan Actavis 160 mg,2G,tbl flm 28x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,53,N,1.11
4146,Valsartan Actavis 160 mg,2G,tbl flm 98x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,38,N,13.45
4147,Valsartan Actavis 80 mg,2G,tbl flm 28x80 mg (blis.PVC/PE/PVDC/Al),C09CA03,95,N,14.97
4148,"Valsartan HCT Actavis 160/12,5 mg",2G,"tbl flm 28x160 mg/12,5 mg (blis.PVC/PE/PVDC/Al)",C09DA03,75,N,11.54
4149,"Valsartan HCT Actavis 160/12,5 mg",2G,"tbl flm 98x160 mg/12,5 mg (blis.PVC/PE/PVDC/Al)",C09DA03,19,A,7.91
4150,Valsartan HCT Actavis 160/25 mg,2G,tbl flm 28x160 mg/25 mg (blis.PVC/PE/PVDC/Al),C09DA03,81,A,5.04
4151,Valtrex 500 mg,O,tbl flm 42x500 mg (blis.PVC/Al),J05AB11,96,N,5.06
4152,"Valtricom 10 mg/160 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 30x10 mg/160 mg/12,5 mg (blis.OPA/Al/PVC/Al)",C09DX01,46,N,12.56
4153,Valtricom 10 mg/160 mg/25 mg filmom obalené tablety,1G,tbl flm 30x10 mg/160 mg/25 mg (blis.OPA/Al/PVC/Al),C09DX01,44,N,9.1
4154,"Valtricom 5 mg/160 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 30x5 mg/160 mg/12,5 mg (blis.OPA/Al/PVC/Al)",C09DX01,91,A,7.39
4155,"Valtricom 5 mg/160 mg/12,5 mg filmom obalené tablety",1G,"tbl flm 90x5 mg/160 mg/12,5 mg (blis.OPA/Al/PVC/Al)",C09DX01,51,N,4.52
4156,Valtricom 5 mg/160 mg/25 mg filmom obalené tablety,1G,tbl flm 30x5 mg/160 mg/25 mg (blis.OPA/Al/PVC/Al),C09DX01,22,N,11.43
4157,Valzap 160 mg,1G,tbl flm 28x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,79,A,6.44
4158,Valzap 160 mg,1G,tbl flm 84x160 mg (blis.PVC/PE/PVDC/Al),C09CA03,27,A,14.61
4159,Valzap 80 mg,1G,tbl flm 28x80 mg (blis.PVC/PE/PVDC/Al),C09CA03,42,N,11.99
4160,"Valzap HCT 160 mg/12,5 mg",1G,"tbl flm 28x160 mg/12,5 mg (blis.PVC/PE/PVDC/Al)",C09DA03,56,N,11.8
4161,"Valzap HCT 160 mg/12,5 mg",1G,"tbl flm 84x160 mg/12,5 mg (blis.PVC/PE/PVDC/Al)",C09DA03,21,A,7.1
4162,"Valzap HCT 160 mg/12,5 mg",2G,"tbl flm 98x160 mg/12,5 mg (blis.PVC/PE/PVDC/Al)",C09DA03,88,A,3.19
4163,Valzap HCT 160 mg/25 mg,1G,tbl flm 28x160 mg/25 mg (blis.PVC/PE/PVDC/Al),C09DA03,34,A,10.28
4164,Vancomycin Mylan 1g,1G,plv ifo 1x1 g (liek.inj.skl.),J01XA01,52,A,1.89
4165,Vancomycin Mylan 500 mg,1G,plv ifo 1x500 mg (liek.inj.skl.),J01XA01,100,N,13.65
4166,VAQTA 25 U,O,"sus inj 1x0,5 ml/25 U (striek.inj.napl.)",J07BC02,85,A,5.86
4167,VAQTA 50 U,O,sus inj 1x1 ml/50 U (striek.inj.napl.),J07BC02,55,A,2.72
4168,Vasocardin 100,1G,tbl 50(5x10)x100 mg (blis.PVC/Al),C07AB02,83,A,2.16
4169,Vasocardin 50,1G,tbl 50(5x10)x50 mg (blis.PVC/Al),C07AB02,82,A,3.21
4170,Vasocardin SR 200,1G,tbl plg 30x200 mg (blis.PVC/Al),C07AB02,89,N,2.01
4171,Vaxigrip Tetra,O,"sus iru 10x0,5 ml (striek.inj.skl.napl. s ihlami)",J07BB02,99,A,6.54
4172,Vectibix 20 mg/ml infúzny koncentrát,O,con inf 1x20 ml/400 mg (liek.inj.skl.),L01XC08,89,N,8.47
4173,Vectibix 20 mg/ml infúzny koncentrát,O,con inf 1x5 ml/100 mg (liek.inj.skl.),L01XC08,42,N,4.71
